               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.16024,            0.016854,            0.043852,                   0,                   0,                   0,                   0,             0.14941,            0.015048,            0.043462,              0.0739,              0.0029,              0.0029
                   1,             0.15111,            0.016761,            0.043097,                   0,                   0,                   0,                   0,             0.14407,            0.015428,            0.043123,            0.046881,           0.0058805,           0.0058805
                   2,             0.14681,            0.016254,            0.042017,                   0,                   0,                   0,                   0,             0.14129,             0.01497,            0.042808,            0.019841,           0.0088413,           0.0088413
                   3,             0.14318,            0.016734,            0.038714,                   0,                   0,                   0,                   0,             0.13953,            0.014419,             0.04252,            0.009901,            0.009901,            0.009901
                   4,             0.13929,            0.017917,            0.036156,          0.00027136,            0.052326,          0.00018516,          4.7909e-05,             0.13611,             0.01463,            0.038389,            0.009901,            0.009901,            0.009901
                   5,             0.13385,            0.019069,            0.034132,             0.56152,             0.10368,            0.048368,            0.012993,             0.13025,            0.015891,            0.037589,            0.009868,            0.009868,            0.009868
                   6,              0.1289,            0.020101,            0.030228,             0.37089,             0.18217,            0.097109,            0.027848,             0.12243,             0.01741,            0.035226,            0.009835,            0.009835,            0.009835
                   7,              0.1227,            0.019463,            0.025378,            0.087555,              0.2093,             0.07001,            0.019147,               0.122,            0.019425,            0.030504,            0.009802,            0.009802,            0.009802
                   8,             0.11717,            0.020179,              0.0207,             0.15708,             0.31434,             0.15096,            0.040225,             0.11145,             0.02175,            0.021283,            0.009769,            0.009769,            0.009769
                   9,             0.11139,            0.020479,            0.018095,             0.30691,             0.33933,             0.28214,             0.08611,             0.10598,            0.020895,             0.01951,            0.009736,            0.009736,            0.009736
                  10,             0.10796,             0.02163,            0.016705,             0.36947,             0.44053,             0.38359,             0.12746,             0.09311,            0.019749,              0.0155,            0.009703,            0.009703,            0.009703
                  11,             0.10253,            0.021298,            0.015887,             0.38714,             0.48297,             0.37422,             0.11409,            0.094413,            0.021603,            0.016333,             0.00967,             0.00967,             0.00967
                  12,             0.10012,            0.021879,            0.015019,              0.3139,             0.25753,             0.18281,            0.051518,             0.11409,            0.019595,            0.030406,            0.009637,            0.009637,            0.009637
                  13,            0.096476,            0.021988,            0.014373,             0.54698,             0.58869,             0.57972,             0.18323,             0.08386,            0.018207,            0.012317,            0.009604,            0.009604,            0.009604
                  14,             0.09535,            0.021971,            0.014067,             0.65237,             0.66392,             0.66785,              0.2592,            0.081816,            0.018266,            0.012776,            0.009571,            0.009571,            0.009571
                  15,            0.092924,            0.021877,            0.013558,             0.58946,             0.64265,             0.62207,             0.22218,            0.081503,             0.01887,            0.012646,            0.009538,            0.009538,            0.009538
                  16,            0.091899,            0.022365,            0.013576,             0.72326,             0.70206,             0.66526,             0.24536,            0.078894,            0.017401,            0.011749,            0.009505,            0.009505,            0.009505
                  17,             0.08867,            0.021284,            0.012946,              0.6589,             0.69812,             0.65244,             0.24059,            0.079961,             0.01741,            0.010928,            0.009472,            0.009472,            0.009472
                  18,            0.089296,            0.022122,            0.013161,             0.68122,             0.64784,             0.69053,             0.25828,            0.076947,            0.017503,            0.011818,            0.009439,            0.009439,            0.009439
                  19,             0.08793,            0.021706,            0.012617,             0.71516,             0.65291,             0.64186,             0.21397,            0.080329,            0.017839,            0.011073,            0.009406,            0.009406,            0.009406
