               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.16714,            0.015456,            0.043971,          8.3367e-06,            0.001634,          4.2102e-06,          4.2102e-07,             0.15811,            0.012564,            0.043632,              0.0829,              0.0019,              0.0019
                   1,             0.15866,            0.015635,            0.043634,                   0,                   0,                   0,                   0,             0.15198,             0.01315,            0.043396,            0.064887,           0.0038871,           0.0038871
                   2,             0.15393,            0.015246,            0.043138,                   0,                   0,                   0,                   0,             0.14851,             0.01361,            0.043197,            0.046861,           0.0058611,           0.0058611
                   3,             0.14972,            0.015255,            0.042745,                   0,                   0,                   0,                   0,             0.14611,            0.013114,            0.042993,            0.028822,           0.0078218,           0.0078218
                   4,             0.14766,            0.015226,            0.041874,                   0,                   0,                   0,                   0,             0.14398,            0.013209,            0.042761,            0.010769,           0.0097693,           0.0097693
                   5,             0.14356,            0.016411,            0.040266,                   0,                   0,                   0,                   0,             0.14215,            0.012876,            0.042655,            0.009835,            0.009835,            0.009835
                   6,              0.1372,            0.019661,            0.036951,           0.0012399,             0.10458,           0.0029093,          0.00097297,             0.14675,             0.01653,            0.049524,            0.009835,            0.009835,            0.009835
                   7,             0.13152,            0.019637,            0.032633,             0.03036,            0.080065,            0.025737,           0.0047729,             0.13743,            0.022312,            0.052389,            0.009802,            0.009802,            0.009802
                   8,             0.12632,            0.019237,            0.028319,              0.0857,             0.16667,             0.10814,            0.027919,             0.12827,            0.024095,            0.040426,            0.009769,            0.009769,            0.009769
                   9,             0.12452,            0.019018,            0.023112,             0.43518,             0.27131,             0.18993,            0.047737,             0.12701,            0.026292,            0.038021,            0.009736,            0.009736,            0.009736
                  10,              0.1195,            0.020062,            0.018773,              0.6242,             0.15523,             0.14973,            0.046819,              0.1183,            0.018789,            0.022146,            0.009703,            0.009703,            0.009703
                  11,             0.11428,            0.019492,            0.017217,              0.2387,             0.46679,             0.30313,              0.1064,             0.10755,            0.018532,            0.025299,             0.00967,             0.00967,             0.00967
                  12,             0.10928,            0.019818,            0.016357,             0.64741,             0.15033,             0.20111,             0.06249,             0.11343,            0.018536,            0.029818,            0.009637,            0.009637,            0.009637
                  13,              0.1065,            0.020566,            0.015487,             0.89998,              0.1683,             0.17632,            0.062559,             0.11473,            0.019058,            0.019504,            0.009604,            0.009604,            0.009604
                  14,             0.10158,            0.021282,            0.015205,             0.48124,             0.49777,             0.56907,             0.18825,            0.091681,            0.018795,             0.01286,            0.009571,            0.009571,            0.009571
                  15,             0.10028,            0.021298,             0.01499,             0.68617,             0.34486,             0.48775,             0.16797,             0.09462,            0.020302,            0.017315,            0.009538,            0.009538,            0.009538
                  16,            0.096653,            0.021151,            0.013965,             0.55264,             0.68397,             0.63832,             0.22811,            0.087327,             0.01795,            0.013391,            0.009505,            0.009505,            0.009505
                  17,            0.095289,            0.020872,            0.013828,             0.44577,             0.32481,             0.30779,              0.1222,              0.1016,            0.020061,            0.019329,            0.009472,            0.009472,            0.009472
                  18,            0.093675,             0.02126,            0.013963,             0.60231,             0.69565,             0.68195,             0.26412,            0.080346,            0.018193,            0.012356,            0.009439,            0.009439,            0.009439
                  19,            0.092844,            0.020776,            0.013742,             0.68589,              0.7386,             0.75751,             0.28115,            0.077324,            0.018436,            0.012399,            0.009406,            0.009406,            0.009406
                  20,            0.091165,            0.022068,            0.013531,             0.65383,             0.77639,             0.74555,             0.29012,            0.077416,            0.018499,            0.011378,            0.009373,            0.009373,            0.009373
                  21,            0.090968,            0.021355,             0.01331,             0.75503,             0.83272,             0.79724,             0.31557,            0.073037,            0.017992,            0.011163,             0.00934,             0.00934,             0.00934
                  22,            0.089906,            0.021574,            0.012958,             0.76507,             0.76622,             0.78876,             0.31614,            0.076384,            0.016894,            0.010652,            0.009307,            0.009307,            0.009307
                  23,            0.087738,            0.020364,            0.012867,             0.67272,             0.81358,             0.77168,             0.30745,             0.07547,            0.017688,            0.010449,            0.009274,            0.009274,            0.009274
                  24,            0.086988,            0.021077,            0.012176,             0.63707,             0.82947,             0.76113,             0.29292,            0.077122,            0.017365,            0.010412,            0.009241,            0.009241,            0.009241
                  25,            0.086152,            0.021486,            0.012415,              0.7512,             0.78546,             0.76464,             0.30537,            0.075822,            0.017775,            0.011111,            0.009208,            0.009208,            0.009208
                  26,            0.086223,            0.020869,            0.012403,             0.67147,             0.81989,              0.7978,             0.31326,            0.072174,            0.017299,            0.010017,            0.009175,            0.009175,            0.009175
